sigma_epsilon,sigma_effect,RMSE_cf,RMSE_did
0.01,0.01,0.12823444814208443,4.9728226770558015
0.01,0.1,0.17951370927131366,4.970930155423955
0.01,0.5,0.518812985126197,4.986160570857067
0.01,1,1.0371323880373449,5.074600563647358
0.01,2,2.0104401003513597,5.315746963560368
0.01,3.5,3.4725183174542615,5.974289169594238
0.01,5,5.026414421685538,6.964953281725515
0.1,0.01,0.17092402247208255,4.9729621659020395
0.1,0.1,0.1945414563385132,4.972714111992113
0.1,0.5,0.5242108709166415,4.995351613368843
0.1,1,1.0227475905826162,5.071906968970774
0.1,2,2.0233339262771963,5.447036902471999
0.1,3.5,3.6012515535100293,6.192743288113539
0.1,5,5.062570507927821,7.154584021612178
0.5,0.01,0.2704394901622006,4.972607151818732
0.5,0.1,0.288632920909225,4.973560959164426
0.5,0.5,0.5727074101432326,4.986163544725359
0.5,1,1.0298671432376632,5.063532221815961
0.5,2,2.065253167726746,5.407316499680694
0.5,3.5,3.562482505548831,6.060501545993697
0.5,5,4.9755564161958805,7.051237181321098
1,0.01,0.4402670339875243,4.97299784808162
1,0.1,0.4474345477895456,4.972986153663442
1,0.5,0.6637154009368522,4.989872909929257
1,1,1.0952496725736018,5.073019324142339
1,2,2.073603272875625,5.42361227904044
1,3.5,3.5585416893881647,6.033351947051944
1,5,5.059609981167163,7.059201433444699
2,0.01,0.8201631526181167,4.973028215410118
2,0.1,0.8446849524441089,4.974031475036229
2,0.5,0.9751135302957239,5.0036850668979085
2,1,1.3052740260840838,5.08775037681109
2,2,2.1754800815074136,5.321510016992575
2,3.5,3.6017314393723923,6.147001834986733
2,5,5.181186241124082,7.143336052622844
3.5,0.01,1.4129967915624206,4.973616620142271
3.5,0.1,1.3978976391063622,4.969379774026556
3.5,0.5,1.4837407785335,5.003906209545036
3.5,1,1.7412927754981526,5.069650776022955
3.5,2,2.384812132239194,5.30538664838124
3.5,3.5,3.8309201725540825,6.114285706900134
3.5,5,5.23784357629448,7.122809349175193
5,0.01,1.917066713339419,4.973622915978071
5,0.1,1.9459113040245621,4.973588166805231
5,0.5,1.9616528696033217,4.9926648724892395
5,1,2.1167120058671736,5.033124774045021
5,2,2.7470969364344477,5.40337299311307
5,3.5,3.894518813640269,6.0421666470867255
5,5,5.2374432679478335,6.836700466209124
